protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,composite_score,stability_proba,pred_aggregation,pred_oxidation,pred_deamidation,pred_potency,pred_shelf_life
A5PLL7,histidine,mannitol,polysorbate 80,methionine,5.0,25,50.0,300.0,0.08,5.5,0.9005153,0.9691367,0.21167673,0.023861447,0.119959705,0.8716193,0.85879743
O00585,histidine,sucrose,polysorbate 20,none,5.0,4,50.0,100.0,0.08,0.0,0.9000033,0.9406048,0.09814566,0.2753426,-0.0034140395,0.8925464,0.8871667
O75888,histidine,sucrose,polysorbate 80,none,5.0,4,10.0,200.0,0.01,0.0,0.8991843,0.95948803,0.09293507,0.19500314,0.11638098,0.88902956,0.86556214
O95750,citric acid,trehalose,polysorbate 80,methionine,5.5,25,10.0,200.0,0.045,5.5,0.8977608,0.9294354,0.08314816,0.24745053,0.01716279,0.8741298,0.8826459
P05423,histidine,sorbitol,polysorbate 20,methionine,5.0,25,30.0,200.0,0.01,5.5,0.89717543,0.9717172,0.2391281,0.045704257,0.08887606,0.8713639,0.8593663
A0A1B0GTW7,histidine,trehalose,polysorbate 20,none,5.0,25,30.0,300.0,0.08,0.0,0.8964906,0.95915747,0.080767214,0.25072128,0.07760087,0.8698795,0.8732628
A5PLL7,histidine,sucrose,polysorbate 20,glycine,5.5,25,30.0,200.0,0.045,200.0,0.89548004,0.97135365,0.117883295,0.18999833,0.11916092,0.87547076,0.8540777
O75888,histidine,trehalose,poloxamer 188,arginine,5.0,4,30.0,100.0,0.05,50.0,0.8952695,0.96717584,0.110176295,0.19415067,0.1158213,0.8713697,0.8588465
O95390,histidine,trehalose,polysorbate 80,arginine,5.0,25,10.0,100.0,0.045,100.0,0.8951314,0.9430095,0.044173244,0.26413235,0.096383266,0.87882537,0.86633354
O76093,histidine,trehalose,polysorbate 20,proline,6.0,25,10.0,300.0,0.045,50.0,0.89491796,0.9619459,0.052736804,0.22619244,0.14919426,0.87097543,0.85086626
A1A4S6,histidine,trehalose,polysorbate 80,methionine,5.5,4,30.0,300.0,0.045,1.0,0.89404917,0.9249633,0.08364667,0.05361986,0.24783644,0.89635015,0.8811074
P08620,histidine,mannitol,polysorbate 80,methionine,5.5,4,10.0,100.0,0.01,10.0,0.8912306,0.985336,0.23165695,0.017390627,0.18326724,0.8626404,0.8532749
B6A8C7,histidine,sucrose,polysorbate 80,methionine,7.4,25,10.0,300.0,0.08,5.5,0.8902383,0.88162804,0.05622488,0.024794612,0.27371287,0.91699636,0.8844294
O95390,histidine,sucrose,poloxamer 188,arginine,5.0,25,10.0,300.0,0.05,150.0,0.8899276,0.97313,0.09258024,0.2652976,0.093098186,0.85465467,0.8413159
A2A2Y4,histidine,sucrose,polysorbate 80,methionine,6.5,25,50.0,200.0,0.01,10.0,0.88985735,0.95917434,0.22693089,0.058432136,0.11393909,0.86815786,0.86246437
A2A2Y4,histidine,trehalose,polysorbate 20,glycine,5.0,25,30.0,100.0,0.08,125.0,0.88875896,0.9744682,0.14199731,0.21412359,0.10749014,0.8656976,0.86410654
O95390,histidine,trehalose,poloxamer 188,arginine,6.0,4,50.0,300.0,0.05,150.0,0.88818437,0.9646324,0.099439576,0.2621267,0.08682403,0.8598704,0.8408908
P08620,citric acid,sucrose,poloxamer 188,methionine,6.0,25,50.0,200.0,0.03,5.5,0.8879354,0.97051245,0.17487365,0.102516994,0.17456098,0.8714684,0.8519564
P15514,histidine,trehalose,polysorbate 80,methionine,5.0,25,50.0,300.0,0.01,10.0,0.88784456,0.9222287,0.059809424,0.09045756,0.26950675,0.8915108,0.86811787
B7U540,histidine,sucrose,polysorbate 80,methionine,6.5,25,30.0,200.0,0.08,10.0,0.8860352,0.9603725,0.1498819,0.13104153,0.16426742,0.86397225,0.852005
O76093,citric acid,sucrose,polysorbate 20,methionine,5.5,25,30.0,100.0,0.01,1.0,0.8845636,0.924143,0.09214441,0.18503422,0.14478078,0.8795858,0.86567885
O95390,histidine,mannitol,polysorbate 80,methionine,6.5,25,30.0,300.0,0.01,10.0,0.8834636,0.9738029,0.22258295,0.12455,0.10017114,0.8535275,0.83036613
A0PK11,histidine,sucrose,poloxamer 188,methionine,5.5,25,10.0,100.0,0.03,5.5,0.88095945,0.94259465,0.2511989,0.044356,0.11929864,0.8695991,0.85058206
A2RU14,citric acid,sucrose,polysorbate 80,proline,5.5,25,50.0,300.0,0.01,150.0,0.8809436,0.9099013,0.18719609,0.19113992,-0.006989509,0.86511195,0.8653631
B6A8C7,citric acid,trehalose,polysorbate 80,arginine,6.5,25,30.0,300.0,0.045,100.0,0.88092846,0.91329557,0.0068262746,0.27106932,0.17281555,0.87721306,0.86611557
A0PK11,phosphoric acid,sucrose,polysorbate 20,methionine,5.0,25,30.0,300.0,0.045,10.0,0.8802854,0.9435434,0.10318857,0.14305905,0.22403087,0.8740505,0.83632034
B6A8C7,phosphoric acid,sucrose,polysorbate 20,methionine,5.0,25,10.0,200.0,0.045,5.5,0.88014185,0.9347381,0.073379286,0.12245681,0.27493605,0.8772133,0.8484638
A2A2Y4,histidine,sucrose,polysorbate 20,none,7.0,4,30.0,200.0,0.045,0.0,0.87964773,0.9651522,0.09761728,0.20710847,0.20733532,0.8660399,0.8377217
A2RU14,acetic acid,trehalose,polysorbate 80,arginine,5.5,4,50.0,300.0,0.045,100.0,0.8791856,0.861922,0.0909782,0.20062955,0.04440476,0.88069695,0.86910385
A0A1B0GTW7,histidine,sorbitol,polysorbate 80,arginine,5.0,4,10.0,300.0,0.08,50.0,0.8765656,0.9634614,0.15058887,0.25403616,0.07578164,0.8366908,0.83227885
P09603,citric acid,sucrose,polysorbate 80,methionine,6.0,4,30.0,100.0,0.045,1.0,0.8764071,0.94042355,0.1687001,0.13455716,0.14176932,0.8495303,0.8407881
A0A1B0GTW7,histidine,sucrose,poloxamer 188,none,5.5,25,30.0,300.0,0.01,0.0,0.876031,0.97473925,0.17781807,0.24687381,0.0753379,0.841359,0.8260139
B7U540,histidine,trehalose,polysorbate 80,methionine,7.4,25,10.0,300.0,0.08,5.5,0.87584364,0.90981066,0.05724482,0.13729289,0.2734915,0.8878086,0.85591435
P09603,histidine,trehalose,polysorbate 20,arginine,7.4,4,10.0,100.0,0.045,50.0,0.8755663,0.93619585,0.06294094,0.18910766,0.2458816,0.8715138,0.836341
O95150,citric acid,sucrose,polysorbate 80,methionine,5.5,4,50.0,200.0,0.01,10.0,0.8754361,0.9237069,0.098909505,0.21204543,0.1314503,0.84908026,0.8453646
P05014,histidine,sucrose,polysorbate 20,methionine,7.0,25,30.0,200.0,0.045,1.0,0.87438524,0.89485407,0.075973995,0.13737735,0.22661184,0.89041716,0.8431923
A5PLL7,histidine,trehalose,poloxamer 188,none,5.0,4,10.0,100.0,0.01,0.0,0.87395567,0.9616362,0.19308911,0.16920774,0.12447726,0.8449984,0.82771283
O95150,histidine,sucrose,polysorbate 80,glycine,5.5,25,10.0,300.0,0.08,200.0,0.8739014,0.9480451,0.08949861,0.26211464,0.13118427,0.83212715,0.83126765
A2RU14,acetic acid,trehalose,polysorbate 20,arginine,5.5,25,10.0,200.0,0.045,150.0,0.87372655,0.8477611,0.09431921,0.19583298,0.049680047,0.87956166,0.8630935
A0A1B0GTW7,histidine,sucrose,polysorbate 20,none,7.0,4,10.0,300.0,0.01,0.0,0.872773,0.93061775,0.07439942,0.24637593,0.16576216,0.85551023,0.83923507
B6A8C7,histidine,trehalose,poloxamer 188,proline,6.0,4,10.0,200.0,0.01,100.0,0.87229264,0.9821472,0.18792419,0.17147693,0.17721848,0.845555,0.8140867
P10767,histidine,mannitol,polysorbate 80,methionine,5.0,4,30.0,300.0,0.01,1.0,0.8705298,0.9427895,0.1980502,0.043417048,0.23537171,0.85292584,0.8236477
O75888,histidine,mannitol,polysorbate 20,arginine,6.0,4,30.0,200.0,0.045,150.0,0.8701199,0.92627627,0.15631407,0.19453162,0.110893555,0.849322,0.83830506
A5PLL7,histidine,mannitol,polysorbate 20,glycine,5.0,25,30.0,300.0,0.08,200.0,0.8657614,0.9571144,0.21254411,0.17949644,0.11947075,0.83321416,0.81997645
O95150,histidine,sucrose,poloxamer 188,methionine,5.5,4,30.0,100.0,0.05,1.0,0.86497647,0.9477742,0.2464277,0.11359163,0.13260476,0.83542293,0.8309134
O95150,histidine,sucrose,polysorbate 80,none,5.5,4,30.0,100.0,0.01,0.0,0.86291826,0.94749135,0.13285369,0.25935522,0.13468355,0.82196844,0.8210424
O60383,histidine,sucrose,polysorbate 80,proline,5.0,4,10.0,300.0,0.01,50.0,0.8625651,0.92783886,0.07337478,0.2291525,0.22980796,0.8450981,0.819354
P10767,histidine,sucrose,polysorbate 80,glycine,5.5,4,50.0,100.0,0.045,200.0,0.86160266,0.91759485,0.08460764,0.19906208,0.24578628,0.8598602,0.8198785
O60383,histidine,trehalose,polysorbate 80,glycine,6.0,4,50.0,300.0,0.045,50.0,0.86126196,0.92316335,0.07211982,0.23142572,0.2320072,0.846713,0.82489777
A5PLL7,phosphoric acid,trehalose,polysorbate 20,arginine,5.0,4,10.0,300.0,0.01,50.0,0.8595424,0.8616098,-0.005160472,0.28067213,0.21149956,0.8730532,0.8579023
A2A2Y4,histidine,mannitol,polysorbate 20,methionine,7.0,4,50.0,100.0,0.045,10.0,0.8582777,0.96164584,0.27236983,0.06746979,0.20858803,0.8356257,0.8064534
A0PK11,histidine,trehalose,polysorbate 20,proline,6.0,4,50.0,300.0,0.08,150.0,0.8578588,0.96780986,0.24059737,0.19099474,0.11369911,0.8121531,0.79032636
P05423,acetic acid,trehalose,polysorbate 80,methionine,6.0,25,30.0,300.0,0.01,10.0,0.8576867,0.9391882,0.20271015,0.13544556,0.19101183,0.8291176,0.82146513
O60383,histidine,mannitol,polysorbate 80,methionine,6.0,4,50.0,300.0,0.01,1.0,0.8574206,0.9447614,0.22372653,0.07967103,0.23351559,0.8354757,0.80788267
P10767,histidine,sorbitol,polysorbate 80,arginine,5.5,4,50.0,300.0,0.01,50.0,0.85732853,0.9492361,0.1345176,0.19067061,0.2435447,0.82847506,0.80644476
A6QL63,histidine,sucrose,polysorbate 20,proline,5.5,4,30.0,200.0,0.08,50.0,0.8569102,0.9339371,0.14848797,0.24920945,0.1587994,0.845133,0.81716096
O95750,acetic acid,trehalose,polysorbate 20,methionine,5.0,25,30.0,200.0,0.01,5.5,0.8568339,0.84981006,0.083522975,0.24415582,0.10141423,0.8534702,0.8482088
A1L3X0,histidine,trehalose,polysorbate 80,methionine,6.0,25,10.0,200.0,0.08,1.0,0.8545847,0.84324497,0.091796875,0.2028579,0.1492071,0.86793256,0.85180724
P18075,histidine,trehalose,polysorbate 80,methionine,5.0,4,30.0,200.0,0.01,10.0,0.8541288,0.8219106,0.09095812,0.06405435,0.27365112,0.88565105,0.8711077
O60383,histidine,sorbitol,polysorbate 80,methionine,6.0,25,10.0,200.0,0.08,5.5,0.85346085,0.9468514,0.23955213,0.088187955,0.23073168,0.8327554,0.80480963
P09603,histidine,mannitol,polysorbate 80,methionine,7.0,25,10.0,300.0,0.01,5.5,0.8534167,0.9360847,0.26131856,0.02437516,0.24768525,0.83578837,0.8059166
P15514,histidine,sucrose,polysorbate 20,arginine,6.0,25,50.0,200.0,0.045,50.0,0.8526893,0.8668016,0.0195752,0.23685615,0.27211338,0.8736005,0.8373847
P05423,acetic acid,sorbitol,polysorbate 80,methionine,5.0,25,30.0,300.0,0.01,5.5,0.85063803,0.93367493,0.22871183,0.13352752,0.19150288,0.8290841,0.813396
O95750,histidine,trehalose,polysorbate 20,methionine,7.0,4,30.0,100.0,0.01,10.0,0.8493291,0.91530854,0.25873214,0.13740404,0.114164405,0.8140775,0.842132
O60383,histidine,trehalose,polysorbate 20,glycine,5.5,25,50.0,100.0,0.01,50.0,0.8479424,0.90480596,0.10644326,0.22705714,0.22993329,0.8380578,0.8125841
P09603,histidine,trehalose,poloxamer 188,proline,6.0,4,30.0,100.0,0.01,100.0,0.8469199,0.9597799,0.2767277,0.17651767,0.14076844,0.8155019,0.7919818
P09603,histidine,mannitol,polysorbate 80,arginine,7.0,4,30.0,100.0,0.08,150.0,0.83671874,0.9458517,0.20576045,0.1903706,0.24497908,0.80177116,0.7830433
A1A4S6,histidine,mannitol,polysorbate 20,arginine,5.0,25,30.0,200.0,0.08,50.0,0.824483,0.8729937,0.1671458,0.19618732,0.24581777,0.8182365,0.79158586
O95393,histidine,trehalose,polysorbate 20,arginine,6.0,4,30.0,200.0,0.01,100.0,0.82405794,0.7778632,0.025494795,0.24521846,0.26216346,0.8673304,0.8361143
P10767,histidine,sucrose,poloxamer 188,glycine,5.0,4,10.0,100.0,0.03,50.0,0.82099986,0.87246746,0.17938119,0.1966559,0.24364276,0.81688786,0.77294916
P15514,histidine,sucrose,polysorbate 20,methionine,6.5,25,10.0,100.0,0.045,10.0,0.82071894,0.86280155,0.22267653,0.09659157,0.27426413,0.8134399,0.80052215
B7U540,citric acid,trehalose,polysorbate 80,methionine,7.0,4,10.0,100.0,0.08,5.5,0.8201497,0.827858,0.08831678,0.2370509,0.27444887,0.83579546,0.8162275
P05014,citric acid,trehalose,polysorbate 80,methionine,6.5,4,50.0,200.0,0.01,5.5,0.8183808,0.8000374,0.15797175,0.24077512,0.13471924,0.8364256,0.8164845
A6QL63,histidine,mannitol,polysorbate 80,none,5.5,4,50.0,300.0,0.045,0.0,0.8123994,0.9028627,0.26769453,0.24756704,0.16224803,0.78815794,0.76656085
O95750,histidine,mannitol,polysorbate 80,arginine,5.0,4,30.0,100.0,0.08,50.0,0.8095702,0.75511026,0.18022458,0.2903769,0.020774836,0.8300117,0.8250612
P15514,histidine,trehalose,poloxamer 188,proline,5.5,4,10.0,300.0,0.05,50.0,0.8086853,0.86064607,0.1677535,0.24469545,0.2663614,0.8115817,0.7792699
P10767,histidine,sorbitol,polysorbate 80,none,6.5,25,10.0,100.0,0.045,0.0,0.8068809,0.87477005,0.24228498,0.19002633,0.24764983,0.8034422,0.76083744
P01568,histidine,trehalose,polysorbate 20,glycine,5.0,4,50.0,300.0,0.045,200.0,0.80665344,0.72836685,0.06676319,0.2975213,0.1532477,0.851095,0.8289404
P15514,histidine,sucrose,poloxamer 188,none,5.5,4,30.0,100.0,0.03,0.0,0.7991708,0.8627196,0.20505169,0.2387597,0.27245417,0.79924905,0.7631998
P05014,histidine,sorbitol,polysorbate 20,methionine,7.0,4,10.0,300.0,0.08,10.0,0.7974403,0.76861745,0.20826048,0.14342736,0.22382037,0.8274505,0.7895348
A1A4S6,citric acid,trehalose,poloxamer 188,methionine,5.0,4,50.0,300.0,0.01,1.0,0.795727,0.7694372,0.19628592,0.14458372,0.25211123,0.82222164,0.80648
O95750,histidine,sorbitol,polysorbate 80,glycine,5.5,4,30.0,200.0,0.01,50.0,0.7944473,0.7460647,0.23665163,0.28798023,0.017739754,0.82032096,0.8153622
O95393,histidine,trehalose,poloxamer 188,none,6.0,25,10.0,300.0,0.05,0.0,0.78521955,0.7817309,0.16391961,0.25189456,0.2606254,0.80937564,0.7791167
B7U540,phosphoric acid,trehalose,polysorbate 80,methionine,6.5,25,10.0,200.0,0.01,5.5,0.7842407,0.7649472,0.1443238,0.23790428,0.2695151,0.80096877,0.7917785
A6NI61,histidine,trehalose,polysorbate 20,methionine,6.5,25,50.0,200.0,0.045,5.5,0.7813424,0.57776564,0.10769651,0.27033722,0.026622366,0.8730696,0.8627091
P01584,citric acid,trehalose,polysorbate 80,methionine,6.0,4,50.0,200.0,0.045,5.5,0.778007,0.7157949,0.09051755,0.28584406,0.25671318,0.819257,0.7973399
P18075,histidine,trehalose,polysorbate 80,none,6.5,4,50.0,200.0,0.045,0.0,0.77551335,0.67436373,0.09953424,0.21535549,0.27807307,0.844585,0.8087505
A1L3X0,citric acid,sucrose,polysorbate 20,methionine,7.4,4,50.0,200.0,0.045,10.0,0.7724454,0.67768526,0.08697456,0.2873336,0.23806107,0.83276665,0.80857724
B7U540,histidine,trehalose,poloxamer 188,glycine,5.0,4,50.0,100.0,0.03,50.0,0.7670871,0.76883745,0.25410396,0.28476083,0.15588702,0.76734775,0.7650333
P05014,citric acid,trehalose,poloxamer 188,methionine,6.5,25,10.0,300.0,0.01,1.0,0.76575005,0.70285743,0.24379429,0.24531734,0.1354343,0.80743474,0.79298323
A1L3X0,histidine,trehalose,polysorbate 80,methionine,5.5,40,30.0,100.0,0.08,5.5,0.76372147,0.7976213,0.2167089,0.27994764,0.23248354,0.7125705,0.7551184
P01568,histidine,trehalose,polysorbate 80,glycine,7.4,25,30.0,300.0,0.01,50.0,0.75200593,0.6083317,0.061090276,0.29797673,0.26671103,0.838753,0.8122938
A1L3X0,citric acid,mannitol,polysorbate 20,methionine,7.0,4,50.0,100.0,0.08,5.5,0.74292654,0.74098176,0.2648458,0.27945808,0.23669444,0.75943345,0.7421799
A1A4S6,histidine,mannitol,poloxamer 188,arginine,6.0,25,30.0,100.0,0.01,100.0,0.74013543,0.7728199,0.36346677,0.19083458,0.24866179,0.7411443,0.71471167
A1A4S6,citric acid,sorbitol,polysorbate 20,methionine,6.0,4,30.0,200.0,0.08,5.5,0.7398835,0.7031118,0.31743935,0.14213087,0.24777341,0.75848055,0.74302655
P01584,citric acid,sucrose,polysorbate 80,methionine,6.5,25,30.0,100.0,0.045,5.5,0.73809695,0.5971118,0.10858672,0.28492838,0.255061,0.812955,0.79471785
P18075,histidine,sorbitol,polysorbate 80,none,5.0,25,10.0,200.0,0.045,0.0,0.73681283,0.6898023,0.25620908,0.217938,0.2788299,0.78481656,0.7581331
A1L3X0,histidine,mannitol,polysorbate 20,methionine,5.5,40,30.0,300.0,0.045,1.0,0.7292026,0.771978,0.32646966,0.27172127,0.23652518,0.6912968,0.7089119
A6QL63,histidine,sucrose,poloxamer 188,glycine,7.0,25,10.0,100.0,0.05,200.0,0.7263193,0.7567041,0.33065695,0.2523034,0.27071184,0.7234232,0.707565
A6QL63,histidine,mannitol,poloxamer 188,arginine,7.4,4,30.0,100.0,0.01,150.0,0.71104044,0.6611686,0.29723084,0.24528451,0.26937786,0.7556727,0.71968764
O95393,histidine,sorbitol,polysorbate 20,glycine,6.5,4,10.0,300.0,0.01,125.0,0.69656646,0.5418305,0.22221619,0.24849032,0.2644949,0.78544456,0.75183284
P01568,histidine,sucrose,poloxamer 188,glycine,5.0,25,10.0,100.0,0.03,50.0,0.6921615,0.47085539,0.19301434,0.30140862,0.1670391,0.8042367,0.78278756
P18075,histidine,sucrose,poloxamer 188,methionine,6.5,4,10.0,200.0,0.03,1.0,0.6904607,0.3868432,0.19222596,0.075272456,0.2795135,0.8341287,0.8190283
P05014,histidine,sucrose,polysorbate 20,glycine,7.4,4,50.0,300.0,0.01,200.0,0.6863725,0.37177232,0.05913576,0.30931252,0.22297832,0.8412003,0.8066307
P01584,histidine,trehalose,polysorbate 80,methionine,5.0,4,30.0,100.0,0.01,10.0,0.6837757,0.5359386,0.3057366,0.21157692,0.24085544,0.76277393,0.75180465
P01568,histidine,mannitol,poloxamer 188,none,5.0,25,50.0,100.0,0.05,0.0,0.6757128,0.5359766,0.32823625,0.2963367,0.16169474,0.75145274,0.73107666
O00175,citric acid,sucrose,polysorbate 80,methionine,5.0,4,50.0,300.0,0.045,1.0,0.6416101,0.16875397,0.040799942,0.35141024,0.12090297,0.85341203,0.83958054
P01568,histidine,mannitol,polysorbate 20,none,5.5,4,50.0,200.0,0.045,0.0,0.62631226,0.31675917,0.26328132,0.29348695,0.15740521,0.7583226,0.7565234
A6NI61,phosphoric acid,sucrose,polysorbate 20,methionine,6.5,4,50.0,100.0,0.08,5.5,0.6182995,0.18545216,0.13805549,0.36483964,0.111301795,0.8133155,0.7939753
A6NI61,histidine,sucrose,polysorbate 20,none,5.0,25,50.0,200.0,0.08,0.0,0.614622,0.12597294,0.11285432,0.4232063,0.016980546,0.82927364,0.820758
P01584,histidine,sucrose,polysorbate 20,arginine,6.0,4,50.0,100.0,0.045,150.0,0.61323917,0.16374834,0.05060546,0.34977937,0.25272134,0.8296676,0.80321336
P08700,histidine,trehalose,polysorbate 20,methionine,5.5,25,50.0,300.0,0.08,10.0,0.6035257,0.119953424,0.060665555,0.07133257,0.5166834,0.84992254,0.8077364
P08700,histidine,sucrose,polysorbate 20,methionine,5.0,4,10.0,300.0,0.01,1.0,0.59928524,0.08866599,0.057555493,0.060612228,0.51257926,0.8636331,0.8126051
