protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,aggregation_score,oxidation_level,deamidation_level,potency_retention,viscosity_class,shelf_life_score,composite_stability_score,stable,sequence_length,isoelectric_point,gravy_score,instability_index,molecular_weight_kda,aromaticity,helix_fraction,turn_fraction,sheet_fraction,pct_asn,pct_met,pct_cys,pct_trp,pct_his,charge_at_pH_5.0,dist_from_pI_at_pH_5.0,charge_at_pH_5.5,dist_from_pI_at_pH_5.5,charge_at_pH_6.0,dist_from_pI_at_pH_6.0,charge_at_pH_6.5,dist_from_pI_at_pH_6.5,charge_at_pH_7.0,dist_from_pI_at_pH_7.0,charge_at_pH_7.4,dist_from_pI_at_pH_7.4,agg_mean,agg_min,agg_max,agg_std,agg_hotspots,agg_hotspot_frac,buffer_mol_weight,buffer_logp,buffer_hbd,buffer_hba,buffer_tpsa,buffer_rotbonds,sugar_mol_weight,sugar_logp,sugar_hbd,sugar_hba,sugar_tpsa,sugar_rotbonds,surfactant_mol_weight,surfactant_logp,surfactant_hbd,surfactant_hba,surfactant_tpsa,surfactant_rotbonds,amino_acid_mol_weight,amino_acid_logp,amino_acid_hbd,amino_acid_hba,amino_acid_tpsa,amino_acid_rotbonds,buffer_encoded,sugar_encoded,surfactant_encoded,amino_acid_encoded,protein_id_encoded,sug_x_instability,sur_x_gravy,buf_x_asn,sug_x_cys,high_temp_flag,agg_x_temp,agg_x_gravy,hotspot_x_sug,dist_from_pI_formulation,ph_risk_flag
A0A1B0GTW7,citric acid,mannitol,polysorbate 80,glycine,7.4,40,50.0,200.0,0.08,200.0,0.4577,0.4385,0.2549,0.5966,1,0.6295,0.3998,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,192.12,-1.7,4.0,7.0,132.0,5.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,75.07,-3.2,2.0,3.0,63.3,1.0,1,0,2,1,0,8350.4,0.011359999999999999,88.83,736.0400000000001,1,-0.127,0.018033999999999998,7.86,0.638,0
A0A1B0GTW7,acetic acid,sorbitol,polysorbate 20,glycine,5.5,40,30.0,100.0,0.01,50.0,0.384,0.4294,0.2623,0.6217,0,0.6584,0.368,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,60.05,-0.2,1.0,2.0,37.3,0.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,75.07,-3.2,2.0,3.0,63.3,1.0,0,1,1,1,0,4175.2,0.0014199999999999998,53.298,368.02000000000004,1,-0.127,0.018033999999999998,3.93,2.538,0
A0A1B0GTW7,citric acid,trehalose,poloxamer 188,methionine,7.0,4,30.0,200.0,0.05,5.5,0.175,0.1925,0.1463,0.8191,0,0.8446,0.1735,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,192.12,-1.7,4.0,7.0,132.0,5.0,342.3,-4.2,8.0,11.0,190.0,4.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,1,3,0,2,0,8350.4,0.0070999999999999995,53.298,736.0400000000001,0,-0.0,0.018033999999999998,7.86,1.038,0
A0A1B0GTW7,phosphoric acid,sucrose,poloxamer 188,arginine,7.4,40,30.0,300.0,0.03,50.0,0.342,0.4447,0.3885,0.6093,1,0.6003,0.3872,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,97.995,-2.1,3.0,4.0,77.8,0.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,174.2,-4.2,4.0,4.0,128.0,5.0,3,2,0,0,0,12525.6,0.004259999999999999,53.298,1104.06,1,-0.127,0.018033999999999998,11.790000000000001,0.638,0
A0A1B0GTW7,phosphoric acid,sorbitol,polysorbate 80,methionine,5.0,40,50.0,200.0,0.08,1.0,0.3503,0.327,0.2677,0.6896,0,0.6291,0.323,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,97.995,-2.1,3.0,4.0,77.8,0.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,3,1,2,2,0,8350.4,0.011359999999999999,88.83,736.0400000000001,1,-0.127,0.018033999999999998,7.86,3.038,0
A0A1B0GTW7,histidine,mannitol,poloxamer 188,none,7.0,4,10.0,200.0,0.01,0.0,0.3641,0.2479,0.1625,0.7493,0,0.6915,0.2749,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,,,,,,,2,0,0,3,0,8350.4,0.0014199999999999998,17.766,736.0400000000001,0,-0.0,0.018033999999999998,7.86,1.038,0
A0A1B0GTW7,histidine,mannitol,polysorbate 20,arginine,5.0,25,30.0,100.0,0.01,50.0,0.1695,0.2533,0.098,0.8262,0,0.8106,0.1778,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,174.2,-4.2,4.0,4.0,128.0,5.0,2,0,1,0,0,4175.2,0.0014199999999999998,53.298,368.02000000000004,0,-0.0,0.018033999999999998,3.93,3.038,0
A0A1B0GTW7,histidine,sucrose,poloxamer 188,methionine,5.0,40,10.0,100.0,0.05,5.5,0.291,0.2145,0.175,0.7236,0,0.777,0.2431,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,2,2,0,2,0,4175.2,0.0070999999999999995,17.766,368.02000000000004,1,-0.127,0.018033999999999998,3.93,3.038,0
A0A1B0GTW7,citric acid,mannitol,poloxamer 188,none,6.5,4,50.0,300.0,0.05,0.0,0.3257,0.3656,0.0544,0.7426,1,0.7359,0.2681,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,192.12,-1.7,4.0,7.0,132.0,5.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,,,,,,,1,0,0,3,0,12525.6,0.0070999999999999995,88.83,1104.06,0,-0.0,0.018033999999999998,11.790000000000001,1.538,0
A0A1B0GTW7,citric acid,mannitol,polysorbate 20,proline,6.5,40,30.0,100.0,0.01,50.0,0.3122,0.4521,0.1737,0.6549,0,0.6827,0.3247,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,192.12,-1.7,4.0,7.0,132.0,5.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,115.13,-2.5,2.0,3.0,49.3,1.0,1,0,1,4,0,4175.2,0.0014199999999999998,53.298,368.02000000000004,1,-0.127,0.018033999999999998,3.93,1.538,0
A0A1B0GTW7,histidine,mannitol,polysorbate 80,none,7.0,4,50.0,100.0,0.01,0.0,0.2136,0.2378,0.1616,0.7949,0,0.7915,0.2077,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,,,,,,,2,0,2,3,0,4175.2,0.0014199999999999998,88.83,368.02000000000004,0,-0.0,0.018033999999999998,3.93,1.038,0
A0A1B0GTW7,histidine,sucrose,polysorbate 80,arginine,5.0,25,10.0,300.0,0.01,100.0,0.0049,0.2839,0.0719,0.9036,1,0.8898,0.107,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,174.2,-4.2,4.0,4.0,128.0,5.0,2,2,2,0,0,12525.6,0.0014199999999999998,17.766,1104.06,0,-0.0,0.018033999999999998,11.790000000000001,3.038,0
A0A1B0GTW7,acetic acid,trehalose,poloxamer 188,glycine,7.4,40,50.0,200.0,0.01,125.0,0.3405,0.4457,0.3696,0.6555,1,0.6154,0.3754,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,60.05,-0.2,1.0,2.0,37.3,0.0,342.3,-4.2,8.0,11.0,190.0,4.0,1310.0,4.5,0.0,26.0,69.0,80.0,75.07,-3.2,2.0,3.0,63.3,1.0,0,3,0,1,0,8350.4,0.0014199999999999998,88.83,736.0400000000001,1,-0.127,0.018033999999999998,7.86,0.638,0
A0A1B0GTW7,acetic acid,trehalose,polysorbate 80,arginine,7.4,25,30.0,200.0,0.045,100.0,0.1271,0.3455,0.2451,0.8194,0,0.787,0.2176,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,60.05,-0.2,1.0,2.0,37.3,0.0,342.3,-4.2,8.0,11.0,190.0,4.0,1310.0,4.5,0.0,26.0,69.0,80.0,174.2,-4.2,4.0,4.0,128.0,5.0,0,3,2,0,0,8350.4,0.006389999999999999,53.298,736.0400000000001,0,-0.0,0.018033999999999998,7.86,0.638,0
A0A1B0GTW7,histidine,sucrose,polysorbate 80,methionine,7.4,25,10.0,100.0,0.01,1.0,0.2384,0.078,0.1965,0.8139,0,0.834,0.1785,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,2,2,2,2,0,4175.2,0.0014199999999999998,17.766,368.02000000000004,0,-0.0,0.018033999999999998,3.93,0.638,0
A0A1B0GTW7,acetic acid,trehalose,polysorbate 20,glycine,6.0,25,10.0,100.0,0.045,200.0,0.1718,0.3264,0.1571,0.8039,1,0.7762,0.2138,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,60.05,-0.2,1.0,2.0,37.3,0.0,342.3,-4.2,8.0,11.0,190.0,4.0,1310.0,4.5,0.0,26.0,69.0,80.0,75.07,-3.2,2.0,3.0,63.3,1.0,0,3,1,1,0,4175.2,0.006389999999999999,17.766,368.02000000000004,0,-0.0,0.018033999999999998,3.93,2.038,0
A0A1B0GTW7,histidine,sucrose,poloxamer 188,none,5.0,4,10.0,100.0,0.03,0.0,0.1596,0.2476,0.0472,0.8619,0,0.8294,0.1564,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,,,,,,,2,2,0,3,0,4175.2,0.004259999999999999,17.766,368.02000000000004,0,-0.0,0.018033999999999998,3.93,3.038,0
A0A1B0GTW7,acetic acid,sorbitol,polysorbate 80,methionine,5.0,4,30.0,100.0,0.045,5.5,0.3026,0.1805,0.162,0.8087,0,0.7516,0.2245,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,60.05,-0.2,1.0,2.0,37.3,0.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,0,1,2,2,0,4175.2,0.006389999999999999,53.298,368.02000000000004,0,-0.0,0.018033999999999998,3.93,3.038,0
A0A1B0GTW7,acetic acid,mannitol,polysorbate 20,none,7.4,40,30.0,100.0,0.01,0.0,0.4715,0.4723,0.3363,0.5561,0,0.574,0.4382,0,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,60.05,-0.2,1.0,2.0,37.3,0.0,182.17,-3.1,6.0,6.0,121.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,,,,,,,0,0,1,3,0,4175.2,0.0014199999999999998,53.298,368.02000000000004,1,-0.127,0.018033999999999998,3.93,0.638,0
A0A1B0GTW7,phosphoric acid,trehalose,polysorbate 80,none,7.4,40,10.0,300.0,0.045,0.0,0.3048,0.4215,0.342,0.6437,1,0.655,0.3511,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,97.995,-2.1,3.0,4.0,77.8,0.0,342.3,-4.2,8.0,11.0,190.0,4.0,1310.0,4.5,0.0,26.0,69.0,80.0,,,,,,,3,3,2,3,0,12525.6,0.006389999999999999,17.766,1104.06,1,-0.127,0.018033999999999998,11.790000000000001,0.638,0
A0A1B0GTW7,histidine,sucrose,poloxamer 188,methionine,7.0,40,10.0,100.0,0.05,1.0,0.3136,0.2031,0.2548,0.7173,0,0.743,0.2667,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,155.15,-3.2,3.0,4.0,92.0,3.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,149.21,-1.9,2.0,4.0,88.6,4.0,2,2,0,2,0,4175.2,0.0070999999999999995,17.766,368.02000000000004,1,-0.127,0.018033999999999998,3.93,1.038,0
A0A1B0GTW7,citric acid,sucrose,poloxamer 188,arginine,7.4,4,30.0,100.0,0.05,50.0,0.2133,0.3835,0.1779,0.7402,0,0.7594,0.2571,1,788,8.038,-0.142,41.752,85.396,0.066,0.3058,0.316,0.3452,1.7766,1.6497,3.6802,1.6497,3.8071,41.597,3.038,30.296,2.538,19.793,2.038,11.018,1.538,5.911,1.038,3.608,0.638,-0.127,-1.7315,1.8881,0.618,31,0.0393,192.12,-1.7,4.0,7.0,132.0,5.0,342.3,-3.7,8.0,11.0,190.0,5.0,1310.0,4.5,0.0,26.0,69.0,80.0,174.2,-4.2,4.0,4.0,128.0,5.0,1,2,0,0,0,4175.2,0.0070999999999999995,53.298,368.02000000000004,0,-0.0,0.018033999999999998,3.93,0.638,0
