protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,composite_score,stable_derived,pred_aggregation,pred_oxidation,pred_deamidation,pred_potency,pred_shelf_life
A2RU14,histidine,sucrose,polysorbate 80,methionine,5.0,4,10.0,200.0,0.045,1.0,0.9155,1,0.2069,-0.0167,-0.0042,0.9331,0.938
P08620,histidine,trehalose,polysorbate 20,methionine,6.0,4,50.0,200.0,0.08,5.5,0.9151,1,0.0806,0.0151,0.1737,0.9248,0.9238
O75888,histidine,sucrose,polysorbate 20,arginine,5.5,4,30.0,300.0,0.01,100.0,0.9146,1,0.0086,0.1894,0.114,0.9146,0.911
O75610,histidine,sucrose,polysorbate 80,methionine,7.4,4,10.0,200.0,0.08,10.0,0.9125,1,0.0641,0.077,0.1385,0.9184,0.9022
A0A1B0GTW7,histidine,sucrose,polysorbate 80,arginine,5.0,25,10.0,300.0,0.01,100.0,0.9023,1,0.0186,0.2501,0.0777,0.8963,0.8999
A6NNB3,histidine,trehalose,polysorbate 20,glycine,5.0,4,50.0,200.0,0.045,200.0,0.9006,1,0.0825,0.1807,0.0481,0.9049,0.8949
O76093,histidine,sucrose,polysorbate 80,arginine,5.5,25,10.0,300.0,0.045,150.0,0.8998,1,-0.0064,0.2317,0.1509,0.9043,0.8841
A6NNB3,phosphoric acid,sucrose,polysorbate 80,methionine,6.5,4,10.0,300.0,0.08,5.5,0.8982,1,0.0569,0.1337,0.1409,0.8992,0.882
O75888,citric acid,trehalose,polysorbate 80,methionine,5.5,4,50.0,300.0,0.08,5.5,0.898,1,0.0703,0.1375,0.1153,0.8894,0.8979
B6A8C7,histidine,sucrose,polysorbate 80,methionine,7.4,25,10.0,300.0,0.08,5.5,0.8967,1,0.0514,0.0297,0.2773,0.9157,0.8875
P05423,citric acid,trehalose,polysorbate 80,methionine,5.5,4,50.0,200.0,0.08,5.5,0.8951,1,0.0929,0.1316,0.0924,0.8872,0.8935
O75610,histidine,trehalose,polysorbate 80,proline,5.5,25,10.0,300.0,0.045,50.0,0.8933,1,0.0666,0.2239,0.0539,0.8902,0.8865
P09038,histidine,sucrose,polysorbate 80,glycine,6.0,4,30.0,200.0,0.08,125.0,0.8928,1,0.0751,0.17,0.1118,0.9093,0.8905
O76093,histidine,trehalose,polysorbate 20,arginine,5.5,25,50.0,100.0,0.045,50.0,0.8927,1,0.0116,0.233,0.147,0.9019,0.8752
P09038,histidine,sucrose,polysorbate 80,none,6.0,4,50.0,200.0,0.01,0.0,0.8925,1,0.0779,0.1619,0.1095,0.9065,0.8809
P09038,histidine,sucrose,poloxamer 188,methionine,5.5,4,30.0,300.0,0.01,10.0,0.8923,1,0.1635,0.0216,0.1078,0.9071,0.8932
A2RU14,histidine,sucrose,polysorbate 20,proline,5.5,25,50.0,200.0,0.045,150.0,0.8904,1,0.1895,0.0988,-0.0089,0.8979,0.9004
O75610,histidine,trehalose,polysorbate 20,proline,5.0,25,50.0,200.0,0.01,150.0,0.8894,1,0.0853,0.2212,0.0432,0.893,0.8819
A6NNB3,histidine,trehalose,polysorbate 20,none,7.0,4,50.0,300.0,0.01,0.0,0.8891,1,0.0589,0.1783,0.1374,0.8951,0.8855
O95390,histidine,trehalose,polysorbate 20,methionine,5.0,4,30.0,100.0,0.08,1.0,0.8891,1,0.1101,0.1352,0.0956,0.8954,0.8942
O75610,histidine,trehalose,polysorbate 80,proline,5.5,4,30.0,200.0,0.08,150.0,0.8883,1,0.0828,0.2243,0.0477,0.8901,0.8821
O00585,histidine,sucrose,polysorbate 20,glycine,5.5,4,50.0,100.0,0.045,125.0,0.8882,1,0.0854,0.2662,-0.003,0.8851,0.8794
O95750,citric acid,trehalose,polysorbate 80,methionine,5.5,25,10.0,200.0,0.045,5.5,0.8874,1,0.083,0.247,0.0173,0.875,0.8807
A2RU14,acetic acid,trehalose,polysorbate 80,arginine,5.5,4,50.0,300.0,0.045,100.0,0.8874,1,0.0896,0.2011,0.0475,0.8749,0.8722
A2RU14,acetic acid,trehalose,polysorbate 20,arginine,5.5,25,10.0,200.0,0.045,150.0,0.8865,1,0.0896,0.1983,0.0505,0.8742,0.8645
O95150,histidine,sucrose,polysorbate 80,arginine,5.0,4,10.0,200.0,0.01,50.0,0.8851,1,0.0138,0.2622,0.1338,0.8846,0.8644
P08620,citric acid,trehalose,polysorbate 20,methionine,6.0,4,10.0,100.0,0.08,1.0,0.8834,1,0.0984,0.0932,0.1799,0.8959,0.88
A1A4S6,histidine,trehalose,polysorbate 80,methionine,5.5,4,30.0,300.0,0.045,1.0,0.8828,1,0.0847,0.0531,0.2451,0.8948,0.8789
O95750,citric acid,sucrose,polysorbate 20,arginine,5.5,4,30.0,300.0,0.08,100.0,0.8821,1,0.007,0.3871,0.0186,0.8603,0.8661
O75610,acetic acid,trehalose,polysorbate 20,methionine,6.5,4,50.0,300.0,0.045,10.0,0.8817,1,0.062,0.1813,0.1376,0.8757,0.8586
O95390,histidine,trehalose,polysorbate 80,arginine,5.0,25,10.0,100.0,0.045,100.0,0.8814,1,0.0457,0.2657,0.0951,0.8815,0.873
A6QL63,histidine,trehalose,polysorbate 80,methionine,5.5,4,10.0,300.0,0.08,5.5,0.8797,1,0.1098,0.1039,0.1676,0.8969,0.8787
P15514,histidine,trehalose,polysorbate 80,methionine,5.0,25,50.0,300.0,0.01,10.0,0.8791,1,0.0569,0.0861,0.2697,0.8872,0.8714
B6A8C7,citric acid,trehalose,polysorbate 80,arginine,6.5,25,30.0,300.0,0.045,100.0,0.8783,1,0.006,0.2714,0.1702,0.8804,0.8668
A0PK11,histidine,trehalose,polysorbate 20,methionine,7.4,25,30.0,300.0,0.045,10.0,0.877,1,0.1257,0.0421,0.2126,0.9017,0.8669
P08620,histidine,trehalose,polysorbate 20,glycine,6.5,25,50.0,200.0,0.08,200.0,0.8769,1,0.0769,0.159,0.1733,0.8873,0.8719
A2RU14,phosphoric acid,sucrose,polysorbate 80,methionine,5.0,25,50.0,100.0,0.08,1.0,0.8767,1,0.2249,0.0262,0.0484,0.8874,0.8718
B6A8C7,histidine,sucrose,polysorbate 20,arginine,7.4,4,50.0,200.0,0.045,50.0,0.8765,1,0.0073,0.1746,0.2778,0.887,0.8646
A0PK11,histidine,trehalose,polysorbate 20,none,5.5,25,30.0,300.0,0.045,0.0,0.8763,1,0.0944,0.1883,0.1172,0.8907,0.8682
O75888,histidine,sucrose,polysorbate 80,none,5.0,4,10.0,200.0,0.01,0.0,0.8752,1,0.094,0.1944,0.1142,0.8853,0.8702
B6A8C7,citric acid,trehalose,polysorbate 80,arginine,6.0,4,50.0,200.0,0.01,150.0,0.8744,1,0.0129,0.2689,0.175,0.8747,0.8645
A0A1B0GTW7,histidine,trehalose,polysorbate 20,none,5.0,25,30.0,300.0,0.08,0.0,0.8734,1,0.0822,0.2538,0.0777,0.8696,0.8801
A2A2Y4,histidine,sucrose,polysorbate 20,glycine,5.0,25,50.0,300.0,0.08,125.0,0.8733,1,0.0983,0.2048,0.1041,0.8764,0.8802
O76093,citric acid,trehalose,polysorbate 20,arginine,5.0,4,10.0,200.0,0.045,100.0,0.8718,1,-0.0013,0.329,0.15,0.8744,0.8593
O76093,histidine,trehalose,polysorbate 20,proline,6.0,25,10.0,300.0,0.045,50.0,0.8712,1,0.0558,0.2263,0.152,0.8749,0.8514
P05014,histidine,sucrose,polysorbate 20,methionine,7.0,25,30.0,200.0,0.045,1.0,0.8705,1,0.0742,0.1387,0.2249,0.8959,0.848
A6NI61,histidine,trehalose,polysorbate 20,methionine,6.5,25,50.0,200.0,0.045,5.5,0.8703,1,0.1082,0.2659,0.0265,0.8685,0.864
P18075,histidine,trehalose,polysorbate 80,methionine,5.0,4,30.0,200.0,0.01,10.0,0.8694,1,0.0898,0.0651,0.2762,0.8823,0.8674
A5PLL7,citric acid,sucrose,polysorbate 20,arginine,5.5,4,10.0,100.0,0.01,50.0,0.8691,1,0.0519,0.2843,0.1183,0.8702,0.8726
A5PLL7,phosphoric acid,trehalose,polysorbate 20,arginine,5.0,4,10.0,300.0,0.01,50.0,0.8688,1,-0.0045,0.2823,0.2124,0.8672,0.8605
A5PLL7,histidine,mannitol,polysorbate 80,methionine,5.0,25,50.0,300.0,0.08,5.5,0.8681,1,0.2036,0.019,0.1176,0.8743,0.8557
O75888,histidine,trehalose,poloxamer 188,arginine,5.0,4,30.0,100.0,0.05,50.0,0.8676,1,0.1077,0.195,0.1143,0.871,0.8652
B7U540,histidine,trehalose,polysorbate 80,methionine,7.4,25,10.0,300.0,0.08,5.5,0.8668,1,0.0559,0.1349,0.2762,0.8855,0.8579
A5PLL7,histidine,sucrose,polysorbate 20,glycine,5.5,25,30.0,200.0,0.045,200.0,0.8667,1,0.1137,0.1849,0.1171,0.8778,0.8519
P05423,phosphoric acid,trehalose,polysorbate 80,arginine,5.5,4,30.0,300.0,0.045,100.0,0.8644,1,0.012,0.2882,0.1828,0.8533,0.8482
A1L3X0,histidine,trehalose,polysorbate 80,methionine,6.0,25,10.0,200.0,0.08,1.0,0.8636,1,0.0902,0.2015,0.1485,0.8648,0.8546
O95750,acetic acid,trehalose,polysorbate 20,methionine,5.0,25,30.0,200.0,0.01,5.5,0.8633,1,0.0824,0.2447,0.1053,0.8521,0.8433
O95390,histidine,sucrose,poloxamer 188,arginine,5.0,25,10.0,300.0,0.05,150.0,0.8584,1,0.0931,0.2686,0.0908,0.8586,0.8404
O95390,histidine,trehalose,poloxamer 188,arginine,6.0,4,50.0,300.0,0.05,150.0,0.858,1,0.0991,0.262,0.0877,0.8584,0.839
P08620,phosphoric acid,sucrose,polysorbate 20,arginine,5.0,4,30.0,300.0,0.08,50.0,0.8579,1,0.0013,0.2546,0.2717,0.865,0.8387
P10767,citric acid,sucrose,polysorbate 80,arginine,6.0,25,50.0,300.0,0.01,100.0,0.8576,1,-0.0036,0.283,0.2459,0.8551,0.8384
P09603,histidine,trehalose,polysorbate 20,arginine,7.4,4,10.0,100.0,0.045,50.0,0.8574,1,0.0619,0.1885,0.2394,0.8711,0.8402
A0PK11,phosphoric acid,sucrose,polysorbate 20,methionine,5.0,25,30.0,300.0,0.045,10.0,0.8557,1,0.1019,0.1431,0.2252,0.8718,0.8421
O95150,citric acid,sucrose,polysorbate 80,methionine,5.5,4,50.0,200.0,0.01,10.0,0.8556,1,0.103,0.2203,0.1334,0.8514,0.8463
P08620,acetic acid,sucrose,polysorbate 80,arginine,6.0,4,50.0,300.0,0.01,50.0,0.8556,1,0.002,0.2599,0.2731,0.8638,0.8329
P05423,histidine,sorbitol,polysorbate 20,methionine,5.0,25,30.0,200.0,0.01,5.5,0.8548,1,0.2371,0.0413,0.0967,0.8696,0.8496
A2A2Y4,histidine,sucrose,polysorbate 80,methionine,6.5,25,50.0,200.0,0.01,10.0,0.8546,1,0.2209,0.0577,0.1141,0.8663,0.8635
A0A1B0GTW7,histidine,sucrose,polysorbate 20,none,7.0,4,10.0,300.0,0.01,0.0,0.8543,1,0.0723,0.2455,0.1691,0.8535,0.845
P15514,histidine,sucrose,polysorbate 20,arginine,6.0,25,50.0,200.0,0.045,50.0,0.8541,1,0.0209,0.242,0.2717,0.8697,0.8374
O95393,histidine,trehalose,polysorbate 20,arginine,6.0,4,30.0,200.0,0.01,100.0,0.8541,1,0.0249,0.2417,0.2624,0.8681,0.834
B7U540,histidine,sucrose,polysorbate 80,methionine,6.5,25,30.0,200.0,0.08,10.0,0.8535,1,0.1493,0.1333,0.1625,0.8645,0.8526
O75888,phosphoric acid,trehalose,polysorbate 80,arginine,6.5,25,30.0,200.0,0.08,100.0,0.8531,1,0.0182,0.2937,0.2159,0.8489,0.8405
O00175,citric acid,sucrose,polysorbate 80,methionine,5.0,4,50.0,300.0,0.045,1.0,0.8529,1,0.0448,0.3514,0.1173,0.8566,0.8381
A2A2Y4,histidine,trehalose,polysorbate 20,glycine,5.0,25,30.0,100.0,0.08,125.0,0.852,1,0.1384,0.2181,0.1113,0.8643,0.8665
O95390,histidine,sucrose,polysorbate 80,glycine,5.0,4,50.0,100.0,0.045,125.0,0.8515,1,0.1112,0.2694,0.0947,0.8569,0.8469
P05423,citric acid,trehalose,polysorbate 80,arginine,7.4,4,50.0,200.0,0.045,150.0,0.8512,1,0.0456,0.2858,0.1838,0.8528,0.8316
O95750,citric acid,trehalose,polysorbate 20,glycine,5.5,4,10.0,200.0,0.01,50.0,0.8503,1,0.0825,0.3817,0.0191,0.8378,0.8364
P09603,citric acid,sucrose,polysorbate 80,methionine,6.0,4,30.0,100.0,0.045,1.0,0.8502,1,0.1625,0.1331,0.1383,0.8491,0.84
P10767,citric acid,sucrose,polysorbate 20,methionine,7.4,25,10.0,300.0,0.01,1.0,0.8498,1,0.0537,0.1218,0.3454,0.8628,0.8264
P10767,phosphoric acid,sucrose,polysorbate 80,methionine,5.5,4,50.0,300.0,0.045,1.0,0.8479,1,0.059,0.1287,0.3331,0.8547,0.8269
O60383,citric acid,sucrose,polysorbate 80,methionine,6.5,4,10.0,200.0,0.08,10.0,0.8477,1,0.0835,0.1929,0.2338,0.8584,0.8346
P10767,histidine,trehalose,polysorbate 20,arginine,7.4,25,30.0,100.0,0.08,150.0,0.847,1,0.0263,0.1871,0.3414,0.8591,0.8309
A2A2Y4,histidine,sucrose,polysorbate 20,none,7.0,4,30.0,200.0,0.045,0.0,0.8462,1,0.0976,0.2087,0.2044,0.8586,0.8423
P01568,histidine,trehalose,polysorbate 20,glycine,5.0,4,50.0,300.0,0.045,200.0,0.8456,1,0.0685,0.2985,0.1569,0.8519,0.8291
O95750,citric acid,sucrose,poloxamer 188,arginine,5.5,25,10.0,300.0,0.05,100.0,0.8449,1,0.0931,0.3877,0.0144,0.824,0.8432
O95150,histidine,sucrose,polysorbate 80,glycine,5.5,25,10.0,300.0,0.08,200.0,0.8449,1,0.0944,0.2649,0.1346,0.8335,0.8279
A0PK11,histidine,sucrose,poloxamer 188,methionine,5.5,25,10.0,100.0,0.03,5.5,0.8441,1,0.2517,0.048,0.1193,0.8731,0.8469
P10767,histidine,sucrose,polysorbate 80,glycine,5.5,4,50.0,100.0,0.045,200.0,0.8418,1,0.0855,0.2005,0.2467,0.8599,0.8214
O60383,histidine,trehalose,polysorbate 80,glycine,6.0,4,50.0,300.0,0.045,50.0,0.841,1,0.0724,0.2326,0.2339,0.8462,0.8276
O60383,histidine,sucrose,polysorbate 80,proline,5.0,4,10.0,300.0,0.01,50.0,0.8397,1,0.0745,0.2311,0.234,0.8459,0.8192
A5PLL7,phosphoric acid,trehalose,polysorbate 20,none,5.0,4,50.0,300.0,0.01,0.0,0.8389,1,0.0579,0.2824,0.2231,0.8451,0.8351
O95150,acetic acid,sucrose,polysorbate 20,arginine,5.0,25,50.0,300.0,0.045,50.0,0.8376,1,-0.0,0.3658,0.2299,0.8373,0.8111
O95150,histidine,trehalose,polysorbate 20,none,7.4,25,10.0,300.0,0.08,0.0,0.8375,1,0.0539,0.2597,0.2468,0.8423,0.8136
A0A1B0GTW7,histidine,sorbitol,polysorbate 80,arginine,5.0,4,10.0,300.0,0.08,50.0,0.8361,1,0.1597,0.2566,0.0764,0.836,0.832
A0A1B0GTW7,phosphoric acid,trehalose,polysorbate 20,arginine,5.5,25,30.0,100.0,0.045,150.0,0.8339,1,0.0582,0.3455,0.1789,0.8384,0.8339
P18075,citric acid,sucrose,polysorbate 20,arginine,5.0,25,50.0,300.0,0.01,100.0,0.8339,1,0.0134,0.3185,0.2729,0.832,0.8205
O60383,acetic acid,sucrose,polysorbate 20,methionine,5.0,4,50.0,300.0,0.045,5.5,0.832,1,0.0672,0.1896,0.3252,0.8464,0.8152
O00175,citric acid,trehalose,polysorbate 20,arginine,5.5,25,10.0,200.0,0.01,150.0,0.8302,1,0.0029,0.5035,0.1157,0.8204,0.8204
P05014,citric acid,trehalose,polysorbate 80,methionine,6.5,4,50.0,200.0,0.01,5.5,0.8297,1,0.153,0.2438,0.132,0.8419,0.8215
O60383,phosphoric acid,sucrose,polysorbate 20,methionine,5.0,25,30.0,300.0,0.08,5.5,0.8296,1,0.0723,0.1897,0.3285,0.8453,0.8171
A1A4S6,phosphoric acid,trehalose,polysorbate 20,methionine,5.5,25,10.0,300.0,0.045,10.0,0.8287,1,0.0834,0.1462,0.3569,0.8417,0.8225
A6NI61,histidine,sucrose,polysorbate 20,none,5.0,25,50.0,200.0,0.08,0.0,0.8285,1,0.1151,0.4186,0.0179,0.8237,0.8253
P05014,histidine,sucrose,polysorbate 20,glycine,7.4,4,50.0,300.0,0.01,200.0,0.8283,1,0.0636,0.3088,0.2222,0.8443,0.8015
A1L3X0,histidine,sucrose,polysorbate 80,proline,5.5,4,50.0,300.0,0.08,150.0,0.8274,1,0.0889,0.3497,0.1356,0.826,0.8165
P01574,histidine,sucrose,polysorbate 20,arginine,6.5,4,10.0,300.0,0.01,100.0,0.8264,1,-0.0017,0.259,0.3971,0.8456,0.8016
P01584,histidine,trehalose,polysorbate 80,methionine,7.4,4,10.0,300.0,0.08,10.0,0.8263,1,0.0595,0.2077,0.353,0.8481,0.8204
A6NI61,histidine,trehalose,polysorbate 80,glycine,6.0,4,50.0,200.0,0.08,200.0,0.8256,1,0.1181,0.4212,0.0222,0.8223,0.8232
B7U540,citric acid,trehalose,polysorbate 80,arginine,7.4,4,30.0,300.0,0.01,100.0,0.8254,1,-0.0023,0.3822,0.269,0.8299,0.8038
A1L3X0,citric acid,sucrose,polysorbate 20,methionine,7.4,4,50.0,200.0,0.045,10.0,0.8253,1,0.0808,0.2847,0.2353,0.8409,0.8141
P08700,histidine,sucrose,polysorbate 20,methionine,5.0,4,10.0,300.0,0.01,1.0,0.8238,1,0.0613,0.0599,0.5169,0.8618,0.8136
P18075,histidine,trehalose,polysorbate 80,none,6.5,4,50.0,200.0,0.045,0.0,0.8237,1,0.1012,0.2143,0.279,0.8431,0.8133
P18075,citric acid,trehalose,polysorbate 20,arginine,6.0,4,10.0,100.0,0.08,100.0,0.822,1,0.0435,0.3167,0.2738,0.8269,0.813
A6QL63,histidine,sucrose,polysorbate 20,proline,5.5,4,30.0,200.0,0.08,50.0,0.8218,1,0.1533,0.2501,0.1605,0.841,0.8138
B7U540,citric acid,trehalose,polysorbate 80,methionine,7.0,4,10.0,100.0,0.08,5.5,0.8218,1,0.091,0.2399,0.2789,0.8373,0.8187
P01568,citric acid,trehalose,polysorbate 80,arginine,5.5,4,30.0,100.0,0.045,100.0,0.8218,1,0.058,0.3901,0.1684,0.8133,0.8184
P01583,histidine,sucrose,polysorbate 80,none,6.5,25,30.0,200.0,0.01,0.0,0.8217,1,0.0824,0.1981,0.3335,0.8472,0.7982
P01568,histidine,trehalose,polysorbate 80,glycine,7.4,25,30.0,300.0,0.01,50.0,0.8208,1,0.0649,0.2984,0.2627,0.836,0.8031
P18075,acetic acid,trehalose,polysorbate 80,methionine,6.0,25,30.0,300.0,0.045,1.0,0.8198,1,0.0728,0.1724,0.3738,0.8254,0.8076
P08700,histidine,trehalose,polysorbate 20,methionine,5.5,25,50.0,300.0,0.08,10.0,0.8194,1,0.0564,0.0759,0.519,0.8478,0.8102
P01584,histidine,sucrose,polysorbate 20,arginine,6.0,4,50.0,100.0,0.045,150.0,0.8187,1,0.0417,0.3525,0.2532,0.8279,0.8023
A6QL63,phosphoric acid,trehalose,polysorbate 80,arginine,5.5,4,10.0,300.0,0.08,100.0,0.8165,1,0.0389,0.361,0.2588,0.8233,0.8059
A2A2Y4,acetic acid,sucrose,poloxamer 188,methionine,5.0,25,10.0,300.0,0.03,5.5,0.8158,1,0.1881,0.1659,0.2036,0.8251,0.8176
P01568,citric acid,trehalose,polysorbate 20,none,5.0,25,10.0,300.0,0.045,0.0,0.8155,1,0.0691,0.3934,0.1668,0.8149,0.7945
A1L3X0,phosphoric acid,sucrose,polysorbate 80,methionine,5.5,25,50.0,200.0,0.045,5.5,0.8154,1,0.0854,0.2892,0.2492,0.8195,0.7999
P09603,histidine,mannitol,polysorbate 80,methionine,7.0,25,10.0,300.0,0.01,5.5,0.8135,1,0.2527,0.0257,0.2463,0.8388,0.8052
O15467,citric acid,sucrose,polysorbate 20,methionine,5.0,4,30.0,200.0,0.045,5.5,0.8135,1,0.0648,0.1426,0.4528,0.8365,0.7978
P01568,acetic acid,sucrose,polysorbate 80,methionine,7.4,25,50.0,300.0,0.01,1.0,0.8128,1,0.058,0.2483,0.3592,0.8328,0.7967
P01574,histidine,trehalose,polysorbate 80,methionine,7.4,25,10.0,200.0,0.01,1.0,0.8113,1,0.0628,0.1192,0.4992,0.8485,0.7969
P01584,citric acid,trehalose,polysorbate 80,methionine,6.0,4,50.0,200.0,0.045,5.5,0.8107,1,0.0939,0.2868,0.2556,0.8166,0.7955
A0PK11,histidine,trehalose,polysorbate 20,proline,6.0,4,50.0,300.0,0.08,150.0,0.8093,1,0.2301,0.1895,0.1144,0.8109,0.7897
P08700,histidine,trehalose,polysorbate 20,arginine,5.5,25,30.0,300.0,0.045,50.0,0.8087,1,-0.0022,0.2072,0.522,0.8309,0.7917
P01574,citric acid,sucrose,polysorbate 80,methionine,5.0,4,50.0,300.0,0.08,1.0,0.8084,1,0.0553,0.2227,0.4084,0.8289,0.7967
P01583,acetic acid,sucrose,polysorbate 20,methionine,6.0,4,10.0,200.0,0.045,5.5,0.8077,1,0.0921,0.139,0.4195,0.8165,0.7916
P09603,histidine,sorbitol,polysorbate 80,methionine,7.4,25,30.0,200.0,0.045,5.5,0.8074,1,0.2686,0.0287,0.2394,0.8315,0.8031
O95393,histidine,sucrose,polysorbate 80,proline,7.0,25,50.0,300.0,0.045,100.0,0.8067,1,0.0651,0.2453,0.3647,0.8226,0.781
P05014,histidine,sorbitol,polysorbate 20,methionine,7.0,4,10.0,300.0,0.08,10.0,0.8056,1,0.2053,0.1437,0.2317,0.8267,0.785
A1A4S6,histidine,mannitol,polysorbate 20,arginine,5.0,25,30.0,200.0,0.08,50.0,0.8049,1,0.1704,0.198,0.2431,0.8201,0.7974
A6NI61,phosphoric acid,sucrose,polysorbate 20,methionine,6.5,4,50.0,100.0,0.08,5.5,0.8048,1,0.1415,0.3632,0.1185,0.8088,0.7932
O15467,citric acid,trehalose,polysorbate 80,arginine,6.5,25,10.0,200.0,0.045,50.0,0.8043,1,0.0047,0.2879,0.4418,0.8212,0.7867
A1A4S6,citric acid,trehalose,poloxamer 188,methionine,5.0,4,50.0,300.0,0.01,1.0,0.8042,1,0.2022,0.1443,0.25,0.8222,0.8048
P01584,citric acid,sucrose,polysorbate 80,methionine,6.5,25,30.0,100.0,0.045,5.5,0.8033,1,0.1119,0.2852,0.2562,0.8113,0.7902
A6NI61,citric acid,sucrose,polysorbate 20,none,5.0,4,30.0,200.0,0.045,0.0,0.8029,1,0.1089,0.5242,0.0127,0.7916,0.7958
A1A4S6,phosphoric acid,trehalose,polysorbate 80,arginine,5.5,4,30.0,100.0,0.08,100.0,0.8023,1,0.0637,0.2855,0.3511,0.82,0.7896
O95393,citric acid,trehalose,polysorbate 20,none,6.5,25,10.0,300.0,0.08,0.0,0.802,1,0.0663,0.3507,0.2627,0.8026,0.7748
A1L3X0,citric acid,trehalose,polysorbate 20,none,6.0,4,30.0,300.0,0.08,0.0,0.8018,1,0.0906,0.434,0.1417,0.8016,0.7838
P15514,histidine,sucrose,polysorbate 20,methionine,6.5,25,10.0,100.0,0.045,10.0,0.8015,1,0.22,0.0948,0.2718,0.8142,0.7971
P01574,citric acid,trehalose,polysorbate 20,methionine,5.0,4,30.0,200.0,0.045,1.0,0.801,1,0.068,0.2258,0.4145,0.8264,0.7887
P01583,histidine,sucrose,polysorbate 80,proline,7.4,4,10.0,200.0,0.08,100.0,0.7998,1,0.0744,0.1994,0.43,0.8237,0.7819
O00175,acetic acid,trehalose,polysorbate 20,arginine,6.5,25,30.0,300.0,0.045,100.0,0.7996,1,0.0002,0.514,0.2294,0.8035,0.7779
O95393,phosphoric acid,sucrose,polysorbate 80,arginine,6.5,4,30.0,300.0,0.08,100.0,0.7988,1,0.0173,0.3556,0.3615,0.8023,0.779
B7U540,phosphoric acid,trehalose,polysorbate 80,methionine,6.5,25,10.0,200.0,0.01,5.5,0.7979,1,0.1462,0.2401,0.2655,0.8057,0.7936
A6QL63,acetic acid,trehalose,polysorbate 20,arginine,5.5,4,30.0,100.0,0.08,150.0,0.7974,1,0.0869,0.3565,0.2601,0.8147,0.7894
O00175,citric acid,trehalose,polysorbate 80,proline,5.5,4,50.0,200.0,0.045,100.0,0.7973,1,0.0702,0.5083,0.1168,0.7921,0.7812
P01574,citric acid,sucrose,polysorbate 20,arginine,6.5,25,30.0,300.0,0.01,50.0,0.7971,1,-0.0053,0.3605,0.4123,0.8144,0.7761
A6QL63,acetic acid,sucrose,polysorbate 20,none,5.0,25,50.0,300.0,0.01,0.0,0.7968,1,0.0821,0.3533,0.2652,0.8089,0.7794
O15467,histidine,trehalose,polysorbate 20,glycine,5.0,25,10.0,100.0,0.01,200.0,0.7943,1,0.0826,0.1882,0.4411,0.8133,0.7708
P09603,histidine,trehalose,poloxamer 188,proline,6.0,4,30.0,100.0,0.01,100.0,0.7936,1,0.2703,0.1782,0.1401,0.8172,0.7927
O95393,acetic acid,sucrose,polysorbate 20,arginine,6.0,25,30.0,200.0,0.01,150.0,0.793,1,0.0301,0.3549,0.3643,0.8021,0.7711
P15514,acetic acid,trehalose,polysorbate 20,arginine,6.0,25,30.0,100.0,0.08,50.0,0.7921,1,0.0391,0.3371,0.375,0.8047,0.7751
P05014,citric acid,trehalose,polysorbate 20,glycine,6.5,4,10.0,200.0,0.01,125.0,0.787,1,0.1496,0.3953,0.1374,0.7908,0.7727
